Projeto de LEI,Projeto de Lei - Regex,sigla,numero,ano,Origem Dados,camara_projeto,camara_ementa,camara_data_ultima_tramitacao,camara_orgao_ultima_tramitacao,camara_descricao_tramitacao,camara_situacao_ultima_tramitacao,camara_despacho_ultima_tramitacao,camara_data_parecer_aprovado,camara_orgao_parecer,camara_despacho_parecer,camara_link_inteiro_teor_parecer,camara_link_inteiro_teor_pl,camara_link_ficha_tramitacao,camara_data_proposta_pl,camara_propositor_pl,camara_partido,camara_estado,camara_emendas,camara_substitutivos,senado_projeto,senado_ementa,senado_data_ultima_tramitacao,senado_orgao_ultima_tramitacao,senado_situacao_ultima_tramitacao,senado_data_parecer_aprovado,senado_orgao_parecer,senado_link_inteiro_teor_parecer,senado_link_inteiro_teor_pl,senado_link_ficha_tramitacao,senado_data_proposta_pl,senado_propositor_pl,senado_partido,senado_estado,senado_emendas,senado_substitutivos,Nº,Processo,Descrição,Encaminhamento prévio - Teams/E-mail,1º Encaminhamento - Rementente,1º Encaminhamento - Despacho /Ofício,1º Encaminhamento - Data,1º Encaminhamento - Prazo p/ Resposta,2º Encaminhamento - Remetente,2º Encaminhamento - Despacho,2º Encaminhamento - Data,2º Encaminhamento - Prazo p/ Resposta,3º Encaminhamento - Remetente,3º Encaminhamento - Despacho,3º Encaminhamento - Data,3º Encaminhamento - Prazo p/ Resposta,Período de elaboração da Análise - Quantidade de dias úteis,Envio para a Delog - Data,Envio ao Gabinete da Seges - Data,Validação pelo gabinete da Seges - Quantidade de dias úteis,Assinaturas - Data,Manifestação da Seges - Nota técnica,Andamento do PL - Data/Detalhamento,Observações andamento - Parecer,camara_id_proposicao,senado_id_processo,senado_codigo_materia
PL nº 3.226/2023,PL 3226/2023,PL,3226,2023,Câmara,PL 3226/2023,"Acrescenta alínea ao inciso IV do art. 75 da Lei nº 14.133, de 1º de abril de 2021, lei de licitações e contratos administrativos, e dá outras providências.",20/03/2026,CFT,Recebimento - Relator(a) (Sem Manifestação),Aguardando Designação de Relator(a),Devolvida pelo Relator sem Manifestação.,,CFT,"(Instalação da Comissão) O Relator, Dep. Cabo Gilberto Silva, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)",,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2292493,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2371110,22/06/2023,Alberto Fraga,PL,DF,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2371110&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2371110,,,,,,,,,,,,,,,,,13,18001.102638/2023-34,"""Autoriza a criação da empresa pública
Companhia Docas de Alagoas, a contratação
do Banco Nacional de Desenvolvimento
Econômico e Social em diversas iniciativas e
dá outras providências.""",xxx,Assessoria de Assuntos Técnicos Finalísticos ,Despacho MGI-GM- ASTEC (SEI 41107259),02/04/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 41155365),03/04/2024,,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41157592),03/04/2024,,xxx,04/04/2024,04/04/2024,1,04/04/2024,"Diante do exposto, esta unidade técnica, conquanto o mérito de relevo da proposição, manifesta-se favoravelmente ao Anteprojeto de Lei na forma apresentada (SEI 41105902). 

 

8. Assim, sugere-se o envio da presente Nota Técnica à apreciação do Secretário de Gestão e Inovação para que, caso concorde pela pertinência, a encaminhe à CONJUR/MGI e à Secretaria Executiva/MGI, para providências pertinentes, considerando que o mérito temático dos demais dispositivos do PL já está em análise pela SEST/MGI.","O Projeto de Lei nº 3.226/2024, de autoria do Deputado Dr. Zacharias Calil, foi apresentado em 19 de agosto de 2024. Este projeto autoriza o Poder Executivo federal a doar vacinas contra o MPOX a outros países afetados pela epidemia causada pelo vírus MPXV, em caráter de cooperação humanitária internacional. 

Atualmente, o projeto está sujeito à apreciação conclusiva pelas comissões pertinentes. No entanto, até o momento, não foram registradas movimentações adicionais ou designações de relatores nas comissões responsáveis.

",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2371110,2371110,,
"Substitutivo PL nº 2789, de 2021",PL 2789/2021,PL,2789,2021,Câmara,PL 2789/2021,"Moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa.",04/03/2026,CCULT,Parecer do(a) Relator(a),Pronta para Pauta,"Parecer da Relatora, Dep. Alice Portugal (PCdoB-BA), pela aprovação deste, com substitutivo.",03/04/2026,CCULT,"Mantido o parecer da Relatora, Dep. Alice Portugal, PRL 1 CCULT.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2404872,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2055130,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293801,11/08/2021,Erika Kokay; Benedita da Silva; Leo de Brito; João Daniel; Rogério Correia (+29),PT,DF,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2293801&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2293801,,,,,,,,,,,,,,,,,14,18001.102523/2023-40,"""Moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa"" ",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,Despacho MGI-GM- ASPAR (SEI 41434713),16/04/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SE4151264) prorrogado Despacho MGI -SEGES-ASSEST (SEI 41790369),,,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41791463 ),02/05/2024,07/05/2024,14,15/05/2024,,7,23/05/2024,"                                                                                                                     contrária ao PL                                                                                                          Diante do exposto, considerando as competências regimentais da Delog e DTGES conquanto o mérito de relevo da proposição, mantém-se o posicionamento desfavorável à proposição apresentada por meio do Novo Substitutivo (SEI-MGI 39899934) apresentado pela Comissão de Trabalho, de Administração e Serviço Público ao Projeto de Lei nº 2.789, de 2021, conforme as razões explicitadas nesta Nota Técnica.","13/08/2024	
Cultura ( CCULT )

Aprovado o requerimento nº 31/2024,da Sra. Alice Portugal que requer a realização de Audiência Pública para debater o papel estratégico do Arquivo Nacional e o PL 2789/2021, que moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa.Em 10 de abril de 2024, a relatora, Deputada Alice Portugal (PCdoB-BA), apresentou parecer pela aprovação do projeto, com substitutivo. 

Em 13 de agosto de 2024, foi aprovado o requerimento nº 31/2024, de autoria da Deputada Alice Portugal, solicitando a realização de audiência pública para debater o papel estratégico do Arquivo Nacional e o PL 2789/2021. 
",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293801,2293801,,
"PL nº  4.521, de 2019 e substitutivo.",PL 4521/2019,PL,4521,2019,Câmara,PL 4521/2019,"Dispõe sobre a obrigatoriedade de as empresas que desejam contratar com o poder público comprovarem, na fase de habilitação da licitação, serem doadoras ao Fundo dos Direitos da Criança e do Adolescente.",26/04/2024,CCP,Publicação de Proposição,Aguardando Designação de Relator(a),"Encaminhada à publicação. Parecer da Comissão de Finanças e Tributação Publicado em avulso e no DCD de 27/04/2024, Letra B.",,CCP,Parecer recebido para publicação.,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1790458,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2215627,15/08/2019,Leandre,PSD,PR,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2215627&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2215627,,,,,,,,,,,,,,,,,15,18001.000977/2024-68,"""Dispõe sobre a obrigatoriedade de as empresas que desejam contratar com o poder público comprovarem, na fase de habilitação da licitação, serem doadoras ao Fundo dos Direitos da Criança e do Adolescente""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO Nº 51631/2024/MGI (SEI 41566128),22/04/2024,29/04/2024,Assessoria Estratégica - seges,Despacho MGI -SEGES-ASSEST (SEI 41591993),23/04/2024,26/04/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41679552),26/04/2024,,5,,23/05/2024,1,23/05/2024,"                             contrária ao PL                                                                        A alteração proposta pelo substitutivo do Projeto de Lei nº 4521/2019, de autoria da Deputada Leandre, que ""Dispõe sobre a obrigatoriedade de as empresas que desejam contratar com o poder público comprovarem, na fase de habilitação da licitação, serem doadoras ao Fundo dos Direitos da Criança e do Adolescente"", não deve prosperar, tendo em vista o arrazoado nos itens 13 a 16 desta Nota.","Em 15 de março de 2024, a Deputada Laura Carneiro (PSD-RJ) apresentou um substitutivo na Comissão de Finanças e Tributação (CFT), adequando o projeto à nova Lei de Licitações (Lei nº 14.133, de 2021). 
CÂMARA DOS DEPUTADOS

Posteriormente, em 26 de abril de 2024, a CFT aprovou o parecer favorável ao projeto, com o substitutivo proposto. 
CÂMARA DOS DEPUTADOS

Atualmente, o projeto aguarda designação de relator na Comissão de Constituição e Justiça e de Cidadania (CCJC). 
",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2215627,2215627,,
PL 1405/2023,PL 1405/2023,PL,1405,2023,Câmara,PL 1405/2023,Altera o artigo 60 da 14.133/21 – Lei de Licitações e Contratos Administrativos.,10/12/2025,CFT,Notificações,Pronta para Pauta,Informativo CONOF,11/11/2025,CFT,"Parecer da Relatora, Dep. Laura Carneiro (PSD-RJ), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela aprovação deste, com substitutivo.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3045207,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2249837,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2353500,27/03/2023,Afonso Motta,PDT,RS,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2353500&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2353500,,,,,,,,,,,,,,,,,16,18001.000978/2024-11,""" Altera o artigo 60 da 14.133/21 – Lei de Licitações e Contratos Administrativos"" """,xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 51696/2024/MGI,22/04/2024,29/04/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI41591690),23/04/2024,29/04/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41679552),26/04/2024,,5,20/05/2024,23/05/2024,1,23/05/2024,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifesta-se de forma favorável, com ressalvas ao prosseguimento do Projeto de Lei nº 1405/2023 (SEI 41567355), de autoria do Deputado Afonso Motta (PDT/RS) que ""Altera o artigo 60 da 14.133/21 – Lei de Licitações e Contratos Administrativos"", considerando as recomendações de supressão, ajuste e acréscimo apontadas na presente Nota Técnica.

Assim, sugere-se o envio dos presentes autos à Assessoria Especial de Assuntos Parlamentares e Federativos (Aspar).","O Projeto de Lei nº 1.405, de 2023, de autoria do Deputado Afonso Motta (PDT/RS), propõe a alteração do artigo 60 da Lei nº 14.133/2021 – Lei de Licitações e Contratos Administrativos.

Em 15 de maio de 2024, a Comissão de Defesa dos Direitos da Mulher aprovou parecer favorável ao projeto.

Atualmente, o projeto aguarda designação de relator na Comissão de Finanças e Tributação (CFT).",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2353500,2353500,,
PL nº 215/2024,PL 215/2024,PL,215,2024,Câmara,PL 215/2024,"Altera o § 1º do art. 54 da Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para retirar a obrigatoriedade da divulgação do extrato do edital de licitação em jornal diário de grande circulação.",27/05/2024,CFT,Devolução à CCP,Aguardando Encaminhamento,Devolução à CCP,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2386288,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417649,07/02/2024,Gilson Daniel,PODE,ES,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2417649&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2417649,,,,,,,,,,,,,,,,,17,18001.000526/2024-21,"""Altera o § 1º do art. 54 da Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para retirar a obrigatoriedade da divulgação do extrato do edital de licitação em jornal diário de grande circulação."" ",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 26578/2024/MGI (SEI 40519492),23/04/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 41598843),23/04/2024,03/05/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41604276),23/04/2024,02/05/2024,7,06/05/2024,,11,27/05/2024,"Diante do exposto, esta unidade técnica, conquanto ao mérito de relevo da proposição, consigna pelo seguimento do presente Projeto de Lei, conforme descrito nos itens 8 a 11 desta Nota Técnica.

Ao cabo, sugere-se, o envio da presente Nota Técnica à apreciação do Senhor Secretário de Gestão e Inovação para, caso concorde pela pertinência, encaminhar à Assessoria Especial para Assuntos Parlamentares desta Pasta, em atenção ao Ofício nº 26578/2024/MGI (SEI 40519492).","Situação AtualEm tramitação

Último local:
11/12/2024 - Comissão de Assuntos Econômicos
Último estado:
11/12/2024 - AGUARDANDO DESIGNAÇÃO DO RELATOR",https://www25.senado.leg.br/web/atividade/materias/-/materia/166343,2417649,,
"PL nº120, de 2022",PL 120/2022,PL,120,2022,Câmara,PL 120/2022,"Altera a Lei n° 14.133, de 1º de abril de 2021, para estabelecer a obrigatoriedade de os órgãos e entidades públicas exigirem que percentual mínimo da mão de obra responsável pela execução do objeto de contratos administrativos seja constituído por pessoas nas situações especificadas.",29/10/2024,CMULHER,Encerramento de Prazo,Aguardando Parecer,Encerrado o prazo de 5 sessões para apresentação de emendas ao projeto (de 25/09/2024 a 29/10/2024). Não foram apresentadas emendas.,,CCP,"Encaminhada à publicação. Parecer da Comissão de Defesa dos Direitos das Pessoas com Deficiência Publicado em avulso e no DCD de 25/05/2024 PAG 111, Letra A.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2823255,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2131342,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2313978,02/02/2022,Ely Santos,REPUBLICANOS,SP,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2313978&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2313978,,,,,,,,,,,,,,,,,18,18001.001290/2024-40,"""Altera a Lei n° 14.133, de 1º de abril de 2021, para estabelecer a obrigatoriedade de os órgãos e entidades públicas exigirem que percentual mínimo da mão de obra responsável pela execução do objeto de contratos administrativos seja constituído por pessoas nas situações especificadas.",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 66786/2024/MGI (SEI 42189552),28/05/2024,06/06/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 42459304),03/06/2024,05/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42464239),03/06/2023,05/06/2024,2,05/06/2024,,2,14/06/2024,contrária ao PL,"Situação AtualTramitação encerrada

Decisão:
Arquivada ao final da Legislatura (art. 332 do RISF)
Destino:
Ao arquivo
Último local:
22/12/2022 - Plenário do Senado Federal (Secretaria Legislativa do Senado Federal)
Último estado:
22/12/2022 - ARQUIVADA AO FINAL DA LEGISLATURA",https://www25.senado.leg.br/web/atividade/materias/-/materia/130476,2313978,,
PL nº 2133/2023,PL 2133/2023,PL,2133,2023,Câmara + Senado,PL 2133/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021, para inserir dispositivos para instituir o Sistema de Compra Instantânea (Cix).",26/11/2025,MESA,Apresentação de Proposição,Transformado em Norma Jurídica,Recebimento do Ofício nº 1.203/2025 (SF) encaminhando autógrafo sancionado.,,CCP,"Encaminhada à publicação. Parecer da Comissão de Constituição e Justiça e de Cidadania Publicado em avulso e no DCD de 14/06/2025 PÁG 309, Letra B.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2988726,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2263351,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2358217,25/04/2023,Daniel Soranz,PSD,RJ,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2358217&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2358217,PL 2133/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para prever o uso do Sistema de Compras Expressas (Sicx) na contratação de bens e serviços comuns padronizados.",26/11/2025,SEXPE - Secretaria de Expediente,Processo transferido para arquivamento intermediário na COARQ.,,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=10029531&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/170054,25/08/2025,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/170054,https://www25.senado.leg.br/web/atividade/materias/-/materia/170054,19,18001.001252/2024-97,"""alterar Lei nº 14.133, 1º de abril de 2021, para inserir dispositivos para instituir o Sistema de Compra Instantânea (Cix)"".",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 64604/2024/MGI (SEI 42097028),16/05/2024,20/05/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 42116547),16/05/2024,20/05/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 43752210),16/05/2024,17/05/2024,2,20/05/2024,21/05/2024,2,22/05/2024,"A decisão apresentada é favorávelao Projeto de Lei nº 2133/2023, de autoria do Deputado Daniel Soranz (PSD/RJ).  

Embora o texto tenha mencionado limitaçõese esforço organizacional semelhante a uma proposta mais ampla, isso não foi apresentado como um impeditivo. Pelo contrário, ao sugerir ajustes, acréscimos e supressões ao texto original, a unidade técnica reconheceu a oportunidade e a viabilidade do projeto, desde que com as alterações recomendadas.

A conclusão final indica que o projeto ""deve prosperar, com os ajustes sugeridos acima"", ou seja, a decisão apoia o projeto com modificações.","Em 15 de maio de 2024, a Comissão de Finanças e Tributação (CFT) aprovou parecer favorável ao projeto, destacando que a medida poderá ampliar a competitividade nas licitações e reduzir custos administrativos e de aquisição. 
CÂMARA DOS DEPUTADOS

Atualmente, o projeto aguarda parecer do relator na Comissão de Constituição e Justiça e de Cidadania (CCJC).",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2358217,2358217,8891307,170054
"PL nº 2695, de 2019",PL 2695/2019,PL,2695,2019,Câmara + Senado,PL 2695/2019,"Altera a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), e a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para dispor acerca da disponibilização de documentos necessários à promoção da transparência no âmbito das despesas públicas.",13/03/2026,CASP,Parecer do(a) Relator(a),Pronta para Pauta,"Parecer do Relator, Dep. Pastor Sargento Isidório (AVANTE-BA), pela aprovação.",,CASP,"Parecer do Relator, Dep. Pastor Sargento Isidório (AVANTE-BA), pela aprovação.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3097603,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2468198,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2454498,22/08/2024,Senado Federal - Flávio Arns,N/A,N/A,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2454498&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2454498,PL 2695/2019,"Altera a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), para dispor acerca da disponibilização de documentos necessários à promoção da transparência no âmbito das despesas públicas.",21/08/2024,SEXPE - Secretaria de Expediente,"Remetido Ofício SF nº 851, de 21/08/24, ao Senhor Primeiro-Secretário da Câmara dos Deputados, encaminhando autógrafo do projeto para revisão, nos termos do art. 65 da Constituição Federal.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=7949013&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/136633,08/05/2019,Flávio Arns,REDE,PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/136633,https://www25.senado.leg.br/web/atividade/materias/-/materia/136633,20,18001.001289/2024-15,"""altera a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), para dispor acerca da disponibilização de documentos necessários à promoção da transparência no âmbito das despesas públicas.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,Ofício nº 66608 (SEI-MGI 42182409),20/05/2024,29/05/2024,Assessoria Estratégica - seges,Despacho MGI -SEGES-ASSEST (SEI 42238789),22/05/2024,28/05/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42257226),23/05/2024,27/05/2024,4,27/05/2024,29/05/2024,5,04/06/2024,contrária ao PL,"Situação Atual Tramitação encerrada

Decisão:
Aprovada por Comissão em decisão terminativa
Destino:
À Câmara dos Deputados
Último local:
19/08/2024 - Secretaria de Expediente
Último estado:
21/08/2024 - REMETIDA À CÂMARA DOS DEPUTADOS",https://www25.senado.leg.br/web/atividade/materias/-/materia/136633,2454498,7749504,136633
PL nº 2.283/2021 ,PL 2283/2021,PL,2283,2021,Câmara,PL 2283/2021,Dispõe sobre procedimentos nas avaliações de imóveis destinados a órgãos e entidades públicas federais.,12/08/2025,CASP,Aprovação de Requerimento,Pronta para Pauta,"Aprovado o requerimento nº 67/2025,do Sr. Reimont que requer a realização de audiência pública para debater o Projeto de Lei nº 2283/2021, que dispõe sobre procedimentos nas avaliações de imóveis destinados a órgãos e entidades públicas federais.",12/12/2024,CASP,"Parecer do Relator, Dep. Reimont (PT-RJ), pela aprovação deste, com substitutivo, e pela rejeição da Emenda 1 da CTRAB.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2840951,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2032029,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2287883,22/06/2021,Fausto Pinato,PP,SP,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2287883&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2287883,,,,,,,,,,,,,,,,,21,18001.001351/2024-79,"""Dispõe sobre procedimentos nas avaliações de imóveis destinados a órgãos e entidades públicas federais""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 70608/2024/MGI (SEI 42337962),28/05/2024,05/06/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 42506170),04/06/2024,11/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41157592),04/06/2024,10/06/2024,5,01/07/2024,02/07/2024,3,04/07/2024,"O parecer é favorável ao projeto de lei, com ressalvas e sugestões de ajustes:  

1. Texto original: Recomenda que o art. 4º remeta às Normas da ABNT (NBR 14653) para evitar detalhamentos técnicos desnecessários na lei.  

2. Parecer da Comissão: Aprova com alterações no art. 74 da Lei nº 14.133/2021, incluindo:  
   - Laudo de avaliação prévia obrigatório conforme normas técnicas;  
   - Profissionais habilitados (engenheiro, arquiteto ou agrônomo) devem assinar o laudo;  
   - Dispensa o laudo para contratos com valor anual abaixo do limite do art. 75.  

Conclusão: Parecer favorável com ajustes sugeridos.","Em 12 de dezembro de 2024, o Deputado Reimont (PT-RJ), relator na Comissão de Administração e Serviço Público (CASP), apresentou parecer favorável ao projeto, com substitutivo, e recomendou a rejeição da Emenda nº 1 anteriormente apresentada na Comissão de Trabalho, de Administração e Serviço Público. 
CÂMARA DOS DEPUTADOS

Atualmente, o projeto está pronto para pauta na CASP, aguardando deliberação.

Após a apreciação na CASP, o projeto seguirá para a Comissão de Constituição e Justiça e de Cidadania (CCJC) para continuidade da tramitação.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2287883,2287883,,
PL nº 2408/2023 ,PL 2408/2023,PL,2408,2023,Câmara,PL 2408/2023,"Altera a Lei nº 14.133, de 1 de abril de 2021, para incluir no Portal Nacional de Contratações Públicas (PNCP) informações que permitam a identificação da origem dos recursos utilizados nas contratações.",02/09/2025,CCJC,Parecer do(a) Relator(a),Pronta para Pauta,"Parecer do Relator, Dep. Nikolas Ferreira (PL-MG), pela constitucionalidade, juridicidade e técnica legislativa deste e das Emendas da Comissão de Finanças e Tributação.",09/02/2025,CCJC,"Parecer do Relator, Dep. Nikolas Ferreira (PL-MG), pela constitucionalidade, juridicidade e técnica legislativa deste e das Emendas da Comissão de Finanças e Tributação.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2990762,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2269491,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2360726,09/05/2023,Adriana Ventura; Alfredo Gaspar; Kim Kataguiri; Rosângela Moro; Evair Vieira de Melo (+9),NOVO,SP,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2360726&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2360726,,,,,,,,,,,,,,,,,22,18001.001407/2024-95,""" Altera  ""a Lei nº 14.133, de 1 de abril de 2021, para incluir no Portal Nacional de  Contratações Públicas (PNCP) informações que permitam a identificação da origem dos recursos utilizados nas contratações""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 73272/2024/MGI (SEI 42491561),04/06/2024,12/06/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI42575578),06/06/2024,11/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42625518),07/06/2024,10/06/2024,2,10/06/2024,,8,26/06/2024,"Diante do exposto, esta unidade técnica, dentro de seu espectro de atuação, posiciona-se favoravelmente ao Projeto de Lei nº 2.408, de 2023 (SEI 42491528), desde que observado o apontamento da Tabela referente à necessidade de prever período de vacatio legis, contudo as alterações propostas necessitam ser incluídas no planejamento de atividades da Diretoria de Normas e Sistemas de Logística (DELOG) junto ao Serviço Federal de Processamento de Dados (SERPRO).","Em 16 de agosto de 2023, a Câmara dos Deputados aprovou o substitutivo ao projeto, que foi então encaminhado ao Senado Federal. 
CÂMARA DOS DEPUTADOS

Após tramitação no Senado, o projeto foi sancionado e transformado na Lei Ordinária nº 15.001, de 16 de outubro de 2024, conforme publicação no Diário Oficial da União em 17 de outubro de 2024.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336549,2360726,,
